City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
401,Vyazemskiy,RU,47.5378,134.7525,60.94,98,18,4.68,few clouds
402,Biltine,TD,14.5333,20.9167,78.91,60,100,10.33,light rain
403,Bouna,CI,9.2667,-3.0,77.29,67,99,8.59,overcast clouds
404,Broome,US,42.2506,-75.833,94.69,50,0,5.99,clear sky
405,Akdepe,TM,42.0551,59.3788,89.69,17,0,9.8,clear sky
406,Escanaba,US,45.7453,-87.0646,75.51,76,40,16.11,scattered clouds
407,Lisakovsk,KZ,52.5369,62.4936,64.94,73,12,7.11,few clouds
408,Kahului,US,20.8947,-156.47,78.82,61,20,14.97,few clouds
409,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,74.16,73,100,1.88,overcast clouds
410,Bardiyah,LY,31.7561,25.0865,77.49,62,0,10.51,clear sky
411,La Rioja,ES,42.25,-2.5,71.38,61,0,4.68,clear sky
412,Udachnyy,RU,66.4167,112.4,50.45,81,100,6.93,overcast clouds
413,Bagdarin,RU,54.4333,113.6,56.05,94,39,4.07,scattered clouds
414,Cayenne,GF,4.9333,-52.3333,86.04,1,0,11.5,clear sky
415,Le Port,RE,-20.9373,55.2919,69.8,68,24,12.44,few clouds
416,Saldanha,ZA,-33.0117,17.9442,54.07,61,0,13.24,clear sky
417,Lalmohan,BD,22.3384,90.7419,82.6,84,100,8.21,light rain
418,West Saint Paul,US,44.9161,-93.1016,88.65,38,0,28.77,clear sky
419,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,20,16.11,few clouds
420,Khandbari,NP,27.3747,87.2039,73.33,87,100,0.74,overcast clouds
421,San Cristobal,VE,7.7669,-72.225,77.18,55,90,7.92,overcast clouds
422,Batagay-Alyta,RU,67.8006,130.4114,38.57,86,100,0.31,overcast clouds
423,Rosarito,MX,32.3333,-117.0333,85.62,65,65,6.98,broken clouds
424,Kaitangata,NZ,-46.2817,169.8464,41.11,82,100,5.77,overcast clouds
425,Esperance,AU,-33.8667,121.9,61.56,52,100,19.13,overcast clouds
426,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,74,34,13.15,scattered clouds
