City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Kumluca,TR,83.34,clear sky,36.3703,30.2869,Akkol Apart
584,Kalmunai,LK,80.71,overcast clouds,7.4167,81.8167,VS Villa
586,Santa Maria A Monte,IT,90.68,clear sky,43.6999,10.689,Podere di Valli
588,Sabang,ID,82.83,overcast clouds,5.8933,95.3214,Hotel Citra
589,Hobyo,SO,75.72,few clouds,5.3505,48.5268,Iftin hotel hobyo
590,Gurlan,UZ,89.51,clear sky,41.8447,60.3919,ÒJIQ OVUL
591,Riviere-Au-Renard,CA,77.29,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
592,Chapada Dos Guimaraes,BR,85.66,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
597,Sorong,ID,77.61,moderate rain,-0.8833,131.25,Waigo Splash Hotel
598,Iskenderun,TR,83.23,clear sky,36.5872,36.1735,Grand Akçalı Otel
604,Goderich,CA,88.12,overcast clouds,43.7501,-81.7165,Harmony Inn
605,Kuchinarai,TH,76.41,overcast clouds,16.541,104.05,โรงแรมแสงชัย
607,Celestun,MX,89.02,clear sky,20.8667,-90.4,Posada Lilia
609,Laramie,US,86.09,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
611,Wanning,CN,80.51,few clouds,18.8003,110.3967,Paradise Hotel
612,Purna,IN,78.6,light rain,19.1833,77.05,N G tea Stoll
613,Kimbe,PG,75.78,light rain,-5.5502,150.1429,Kimbe Bay Hotel
615,Alenquer,BR,86.86,overcast clouds,-1.9417,-54.7383,Detinha Hotel
616,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
619,Alamos,MX,93.38,few clouds,27.0167,-108.9333,Luz del Sol
621,San Quintin,MX,76.73,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
622,Makakilo City,US,79.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
623,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
626,Alexandria,EG,78.69,clear sky,31.2156,29.9553,Royal Crown Hotel
628,Kindu,CD,81.7,overcast clouds,-2.95,25.95,Résidence Okanda
630,Marsh Harbour,BS,83.68,clear sky,26.5412,-77.0636,Abaco Beach Resort
634,Wana,PK,83.89,clear sky,32.2989,69.5725,Rest House at Wana Camp
636,Shabo,UA,75.36,broken clouds,46.1326,30.386,отель кафе АПЕЛЬСИН
640,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
643,Green River,US,88.2,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
644,Kalat,PK,75.22,few clouds,29.0225,66.5916,PHE Rest House
646,Carutapera,BR,82.38,overcast clouds,-1.195,-46.02,Lidera
648,Nusaybin,TR,91.89,clear sky,37.0778,41.2178,Aydinlar Hotel
649,Mana,GF,82.81,clear sky,5.6592,-53.7767,LE SAMANA
653,Pedasi,PA,83.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
656,Oriximina,BR,84.94,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
657,Majene,ID,77.38,few clouds,-3.5403,118.9707,Kost Putri RABBANI
658,Manoel Urbano,BR,93.92,clear sky,-8.8389,-69.2597,Baixada Beira Rio
659,Cassilandia,BR,88.7,overcast clouds,-19.1133,-51.7342,Delirius Motel
662,Koutiala,ML,75.74,light rain,12.3917,-5.4642,Hotel La Chaumiere
663,Fukue,JP,80.96,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
666,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
669,Kavaratti,IN,80.87,overcast clouds,10.5669,72.642,Green leaf
